"SPECIES","SITE_ID","bms_id","M_YEAR","TOTAL_NM","SINDEX","GEO_REGION","RCLIM","M_YEAR_scaled","SINDEX_scaled","code_urban","urban_names","country_code","Country.Name","urban_type","pop_ID","urb_variable","Best_Model","urb_trend","WIn","HSI","FMo_Average","range.size","temp.mean","temp.max","temp.sd"
"Aglais io","ES-CTBMS.5","ES-CTBMS",1997,0.849160000000001,0,"R1","K. Warm temperate and mesic",-2.05526881110579,-0.504842600150438,11,"VERY LOW DENSITY RURAL","ESP","Spain","rural","Aglais io_ES-CTBMS.5","sum_2000m","exponential",0.0184415459487279,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","ES-CTBMS.5","ES-CTBMS",1994,0.9105,2.12600852529419,"R1","K. Warm temperate and mesic",-2.48630037493562,-0.478976317007257,11,"VERY LOW DENSITY RURAL","ESP","Spain","rural","Aglais io_ES-CTBMS.5","sum_2000m","exponential",0.0184415459487279,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","ES-CTBMS.5","ES-CTBMS",2019,0.98291,3.97211574745288,"R1","K. Warm temperate and mesic",1.10562932364627,-0.456515479455149,11,"VERY LOW DENSITY RURAL","ESP","Spain","rural","Aglais io_ES-CTBMS.5","sum_2000m","exponential",0.0184415459487279,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","ES-CTBMS.5","ES-CTBMS",1998,0.933900000000001,5.3617003023999,"R1","K. Warm temperate and mesic",-1.91159162316251,-0.439608967970358,11,"VERY LOW DENSITY RURAL","ESP","Spain","rural","Aglais io_ES-CTBMS.5","sum_2000m","exponential",0.0184415459487279,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","ES-CTBMS.5","ES-CTBMS",1995,0.942759999999999,1.03295114141101,"R1","K. Warm temperate and mesic",-2.34262318699234,-0.492275102711493,11,"VERY LOW DENSITY RURAL","ESP","Spain","rural","Aglais io_ES-CTBMS.5","sum_2000m","exponential",0.0184415459487279,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","ES-CTBMS.5","ES-CTBMS",2009,0.926670000000001,10.058788027807,"R1","K. Warm temperate and mesic",-0.331142555786481,-0.382461407361715,11,"VERY LOW DENSITY RURAL","ESP","Spain","rural","Aglais io_ES-CTBMS.5","sum_2000m","exponential",0.0184415459487279,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","ES-CTBMS.5","ES-CTBMS",1999,0.820319999999999,6.16082210010104,"R1","K. Warm temperate and mesic",-1.76791443521924,-0.429886377284902,11,"VERY LOW DENSITY RURAL","ESP","Spain","rural","Aglais io_ES-CTBMS.5","sum_2000m","exponential",0.0184415459487279,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","ES-CTBMS.5","ES-CTBMS",2016,0.8426,5.59040239716455,"R1","K. Warm temperate and mesic",0.674597759816448,-0.43682644237451,11,"VERY LOW DENSITY RURAL","ESP","Spain","rural","Aglais io_ES-CTBMS.5","sum_2000m","exponential",0.0184415459487279,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","ES-CTBMS.5","ES-CTBMS",2008,0.820220000000002,9.21213237834227,"R1","K. Warm temperate and mesic",-0.474819743729757,-0.3927623231357,11,"VERY LOW DENSITY RURAL","ESP","Spain","rural","Aglais io_ES-CTBMS.5","sum_2000m","exponential",0.0184415459487279,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","ES-CTBMS.5","ES-CTBMS",2013,0.89616,22.9287679608682,"R1","K. Warm temperate and mesic",0.243566195986621,-0.22587758324485,11,"VERY LOW DENSITY RURAL","ESP","Spain","rural","Aglais io_ES-CTBMS.5","sum_2000m","exponential",0.0184415459487279,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","ES-CTBMS.5","ES-CTBMS",1996,0.881280000000001,1.00335119298457,"R1","K. Warm temperate and mesic",-2.19894599904906,-0.49263523327443,11,"VERY LOW DENSITY RURAL","ESP","Spain","rural","Aglais io_ES-CTBMS.5","sum_2000m","exponential",0.0184415459487279,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","ES-CTBMS.5","ES-CTBMS",2020,0.766400000000001,2.04198317405865,"R1","K. Warm temperate and mesic",1.24930651158955,-0.479998619364188,11,"VERY LOW DENSITY RURAL","ESP","Spain","rural","Aglais io_ES-CTBMS.5","sum_2000m","exponential",0.0184415459487279,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","ES-CTBMS.5","ES-CTBMS",2004,0.998830000000002,7.09320470988793,"R1","K. Warm temperate and mesic",-1.04952849550286,-0.418542456366622,11,"VERY LOW DENSITY RURAL","ESP","Spain","rural","Aglais io_ES-CTBMS.5","sum_2000m","exponential",0.0184415459487279,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","ES-CTBMS.5","ES-CTBMS",2006,0.74192,6.60763843002511,"R1","K. Warm temperate and mesic",-0.762174119616308,-0.424450144285218,11,"VERY LOW DENSITY RURAL","ESP","Spain","rural","Aglais io_ES-CTBMS.5","sum_2000m","exponential",0.0184415459487279,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","ES-CTBMS.5","ES-CTBMS",2007,0.625950000000002,10.8034138787857,"R1","K. Warm temperate and mesic",-0.618496931673033,-0.373401846749425,11,"VERY LOW DENSITY RURAL","ESP","Spain","rural","Aglais io_ES-CTBMS.5","sum_2000m","exponential",0.0184415459487279,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","ES-CTBMS.5","ES-CTBMS",2015,0.650880000000001,1.20300751879699,"R1","K. Warm temperate and mesic",0.530920571873172,-0.490206095764703,11,"VERY LOW DENSITY RURAL","ESP","Spain","rural","Aglais io_ES-CTBMS.5","sum_2000m","exponential",0.0184415459487279,0.061,0.236,7.5,1136,8.84,17.56,2.91
"Aglais io","ES-CTBMS.5","ES-CTBMS",2005,0.90377,11.7842412555573,"R1","K. Warm temperate and mesic",-0.905851307559584,-0.361468518006707,11,"VERY LOW DENSITY RURAL","ESP","Spain","rural","Aglais io_ES-CTBMS.5","sum_2000m","exponential",0.0184415459487279,0.061,0.236,7.5,1136,8.84,17.56,2.91
