"SPECIES","SITE_ID","estimate","std.error","urb_variable","Best_Model","urb_trend","WIn","HSI","FMo_Average","range.size","temp.mean","temp.max","temp.sd","genzname","code_urban","urban_names","bms_id","country_code","Country.Name"
"Aglais io","DEBMS.100370",-0.0451209849695118,0.288511581121334,"sum_2000m","exponential",0.00966565101440666,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"H. Cool temperate and dry",12,"LOW DENSITY RURAL","DEBMS","DEU","Germany"
"Aglais io","DEBMS.103087",0.0649636195177948,0.321837216693,"sum_2000m","exponential",0.020591402997888,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"H. Cool temperate and dry",21,"SUBURBAN OR PERI-URBAN","DEBMS","DEU","Germany"
"Aglais io","DEBMS.108025",-0.291706848418635,0.0418314074629263,"sum_2000m","exponential",0.00736661810347553,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"H. Cool temperate and dry",21,"SUBURBAN OR PERI-URBAN","DEBMS","DEU","Germany"
"Aglais io","DEBMS.108619",-0.0929124253501979,0.111619236625207,"sum_2000m","exponential",0.00575879511848955,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"H. Cool temperate and dry",12,"LOW DENSITY RURAL","DEBMS","DEU","Germany"
"Aglais io","DEBMS.15115",0.291041405521861,0.0875574732118553,"sum_2000m","exponential",0.0130309998654315,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"G. Cold and mesic",12,"LOW DENSITY RURAL","DEBMS","DEU","Germany"
"Aglais io","DEBMS.15220",-0.0961409197362677,0.0921828864591798,"sum_2000m","exponential",0.00708784786221847,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"G. Cold and mesic",12,"LOW DENSITY RURAL","DEBMS","DEU","Germany"
"Aglais io","DEBMS.21517",-0.0975211380671257,0.050631950345235,"sum_2000m","exponential",0.0121188881233883,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"H. Cool temperate and dry",21,"SUBURBAN OR PERI-URBAN","DEBMS","DEU","Germany"
"Aglais io","DEBMS.21840",-0.0842181181346464,0.115662037135646,"sum_2000m","exponential",0.0121535363284453,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"H. Cool temperate and dry",12,"LOW DENSITY RURAL","DEBMS","DEU","Germany"
"Aglais io","DEBMS.35837",0.00965988687725839,0.0509786462673433,"sum_2000m","exponential",0.0141794134860316,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"H. Cool temperate and dry",30,"URBAN CENTRE","DEBMS","DEU","Germany"
"Aglais io","DEBMS.67707",0.122073002823995,0.0866739697442522,"sum_2000m","exponential",0.0134486982039191,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"H. Cool temperate and dry",12,"LOW DENSITY RURAL","DEBMS","DEU","Germany"
"Aglais io","DEBMS.68450",-0.0567578680319939,0.141033263470701,"sum_2000m","exponential",0.00754711397073038,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"H. Cool temperate and dry",21,"SUBURBAN OR PERI-URBAN","DEBMS","DEU","Germany"
"Aglais io","DEBMS.72844",-0.0972534980139242,0.0903059098861883,"sum_2000m","exponential",0.0104940910772203,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"H. Cool temperate and dry",11,"VERY LOW DENSITY RURAL","DEBMS","DEU","Germany"
"Aglais io","DEBMS.82454",-0.0744249905532466,0.134727566965784,"sum_2000m","exponential",0.00286035950710926,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"H. Cool temperate and dry",11,"VERY LOW DENSITY RURAL","DEBMS","DEU","Germany"
"Aglais io","DEBMS.92970",-0.288324226581795,0.0948329294039961,"sum_2000m","exponential",0.011196872323108,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"H. Cool temperate and dry",11,"VERY LOW DENSITY RURAL","DEBMS","DEU","Germany"
"Aglais io","DEBMS.92973",-0.243684569620517,0.0870688008590467,"sum_2000m","exponential",0.00837371785973999,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"H. Cool temperate and dry",11,"VERY LOW DENSITY RURAL","DEBMS","DEU","Germany"
"Aglais io","ES-CTBMS.10",0.0771261765904253,0.0953497958523333,"sum_2000m","exponential",0.0214699058729576,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"K. Warm temperate and mesic",12,"LOW DENSITY RURAL","ES-CTBMS","ESP","Spain"
"Aglais io","ES-CTBMS.106",-0.0702841291049655,0.0470775822244184,"sum_2000m","exponential",0.0243306401513971,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"K. Warm temperate and mesic",12,"LOW DENSITY RURAL","ES-CTBMS","ESP","Spain"
"Aglais io","ES-CTBMS.108",0.0131628296273383,0.0319255462159113,"sum_2000m","exponential",0.0128149694111706,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"K. Warm temperate and mesic",11,"VERY LOW DENSITY RURAL","ES-CTBMS","ESP","Spain"
"Aglais io","ES-CTBMS.109",-0.118964784962145,0.0265272486032257,"sum_2000m","exponential",0.00709699957814595,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"K. Warm temperate and mesic",11,"VERY LOW DENSITY RURAL","ES-CTBMS","ESP","Spain"
"Aglais io","ES-CTBMS.11",0.0492667754576075,0.0273735020297384,"sum_2000m","exponential",0.00961607468091541,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"K. Warm temperate and mesic",11,"VERY LOW DENSITY RURAL","ES-CTBMS","ESP","Spain"
"Aglais io","ES-CTBMS.110",-0.0974779430176287,0.0384321684719875,"sum_2000m","exponential",0.0206925288020747,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"K. Warm temperate and mesic",11,"VERY LOW DENSITY RURAL","ES-CTBMS","ESP","Spain"
"Aglais io","ES-CTBMS.111",-0.054858482592134,0.111015148196955,"sum_2000m","exponential",0.0116110945592443,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"K. Warm temperate and mesic",30,"URBAN CENTRE","ES-CTBMS","ESP","Spain"
"Aglais io","ES-CTBMS.113",-0.109844144459608,0.0424057048698607,"sum_2000m","exponential",0.0150124337736537,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"K. Warm temperate and mesic",11,"VERY LOW DENSITY RURAL","ES-CTBMS","ESP","Spain"
"Aglais io","ES-CTBMS.115",-0.0896597149835968,0.0839848755861853,"sum_2000m","exponential",0.0105145496051645,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"K. Warm temperate and mesic",11,"VERY LOW DENSITY RURAL","ES-CTBMS","ESP","Spain"
"Aglais io","ES-CTBMS.117",-0.123544771681441,0.336552754824764,"sum_2000m","exponential",0.0111804969570105,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"G. Cold and mesic",11,"VERY LOW DENSITY RURAL","ES-CTBMS","ESP","Spain"
"Aglais io","ES-CTBMS.12",0.0183218268080246,0.0193128792243362,"sum_2000m","exponential",0.0067000993502258,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"J. Cool temperate and moist",11,"VERY LOW DENSITY RURAL","ES-CTBMS","ESP","Spain"
"Aglais io","ES-CTBMS.123",-0.069189658139684,0.115320833306924,"sum_2000m","exponential",0.0101361453678545,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"K. Warm temperate and mesic",11,"VERY LOW DENSITY RURAL","ES-CTBMS","ESP","Spain"
"Aglais io","ES-CTBMS.127",-0.159314849257454,0.0251383920903168,"sum_2000m","exponential",0.00873645036233617,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"K. Warm temperate and mesic",12,"LOW DENSITY RURAL","ES-CTBMS","ESP","Spain"
"Aglais io","ES-CTBMS.128",-0.127269306603729,0.128494815919552,"sum_2000m","exponential",0.0187982301545478,0.061,"0.236",7.5,1136,8.84,17.56,2.91,"K. Warm temperate and mesic",11,"VERY LOW DENSITY RURAL","ES-CTBMS","ESP","Spain"
